iter	Passed	Remaining
412	3367	4785
413	3376	4779
414	3385	4772
415	3395	4766
416	3398	4750
417	3407	4744
418	3416	4737
419	3425	4731
420	3435	4724
421	3444	4718
422	3447	4702
423	3449	4686
424	3459	4680
425	3468	4673
426	3477	4667
427	3480	4650
428	3481	4633
429	3483	4618
430	3493	4611
431	3502	4605
432	3504	4588
433	3505	4572
434	3515	4565
435	3517	4550
436	3520	4535
437	3529	4528
438	3531	4513
439	3540	4506
440	3550	4500
441	3552	4485
442	3562	4478
443	3571	4472
444	3580	4466
445	3590	4459
446	3599	4453
447	3608	4446
448	3617	4439
449	3626	4432
450	3636	4426
451	3645	4419
452	3654	4413
453	3664	4406
454	3673	4400
455	3683	4394
456	3692	4387
457	3702	4381
458	3711	4374
459	3721	4368
460	3724	4354
461	3734	4348
462	3743	4341
463	3753	4335
464	3762	4328
465	3771	4322
466	3781	4315
467	3791	4309
468	3800	4302
469	3809	4295
470	3819	4289
471	3828	4282
472	3837	4275
473	3846	4268
474	3856	4262
475	3865	4255
476	3874	4248
477	3884	4241
478	3893	4234
479	3894	4219
480	3903	4212
481	3912	4205
482	3922	4198
483	3924	4184
484	3933	4177
485	3935	4162
486	3936	4147
487	3939	4133
488	3942	4119
489	3951	4112
490	3960	4105
491	3969	4098
492	3979	4092
493	3988	4085
494	3996	4077
495	3999	4064
496	4008	4056
497	4018	4050
498	4027	4043
499	4036	4036
500	4045	4029
501	4054	4022
502	4057	4008
503	4066	4001
504	4075	3994
505	4084	3988
506	4094	3981
507	4103	3974
508	4113	3967
509	4122	3960
510	4124	3946
511	4133	3940
512	4142	3932
513	4152	3926
514	4161	3919
515	4171	3912
516	4180	3905
517	4183	3892
518	4192	3885
519	4201	3878
520	4210	3871
521	4220	3864
522	4223	3851
523	4232	3844
524	4241	3837
525	4250	3830
526	4260	3824
527	4270	3817
528	4279	3810
529	4282	3797
530	4284	3784
531	4294	3777
532	4296	3764
533	4305	3757
534	4315	3750
535	4317	3737
536	4327	3730
537	4329	3717
538	4331	3704
539	4347	3703
540	4360	3699
541	4362	3686
542	4372	3679
543	4374	3666
544	4383	3659
545	4392	3652
546	4402	3645
547	4411	3638
548	4414	3626
549	4416	3613
550	4425	3606
551	4427	3593
552	4437	3586
553	4439	3574
554	4442	3561
555	4443	3548
556	4453	3541
557	4462	3534
558	4463	3521
559	4465	3508
560	4474	3501
561	4483	3494
562	4493	3487
563	4494	3474
564	4503	3467
565	4506	3455
566	4507	3442
567	4517	3435
568	4526	3428
569	4535	3421
570	4544	3414
571	4553	3407
572	4562	3400
573	4571	3392
574	4574	3380
575	4583	3374
576	4586	3362
577	4587	3349
578	4597	3342
579	4599	3330
580	4608	3323
581	4618	3316
582	4620	3305
583	4629	3297
584	4639	3290
585	4648	3283
586	4651	3272
587	4660	3265
588	4669	3258
589	4679	3251
590	4688	3244
591	4698	3237
592	4707	3230
593	4716	3224
594	4726	3217
595	4735	3210
596	4744	3203
597	4754	3195
598	4756	3184
599	4765	3176
600	4774	3169
601	4783	3162
602	4793	3156
603	4803	3149
604	4812	3142
605	4821	3135
606	4831	3127
607	4833	3116
608	4843	3109
609	4845	3098
610	4854	3090
611	4863	3083
612	4873	3076
613	4882	3069
614	4891	3062
615	4894	3051
616	4903	3044
617	4906	3032
618	4915	3025
619	4925	3018
620	4934	3011
621	4943	3004
622	4952	2997
623	4954	2985
624	4957	2974
625	4966	2967
626	4968	2956
627	4971	2944
628	4980	2937
629	4990	2930
630	4992	2919
631	5002	2912
632	5004	2901
633	5013	2894
634	5022	2887
635	5031	2879
636	5034	2868
637	5043	2861
638	5053	2854
639	5055	2843
640	5058	2832
641	5067	2825
642	5076	2818
643	5085	2811
644	5094	2804
645	5104	2797
646	5113	2789
647	5115	2778
648	5118	2768
649	5127	2760
650	5130	2750
651	5139	2743
652	5148	2736
653	5151	2725
654	5153	2714
655	5162	2707
656	5165	2696
657	5167	2685
658	5169	2674
659	5178	2667
660	5187	2660
661	5197	2653
662	5200	2643
663	5209	2636
664	5218	2628
665	5228	2621
666	5229	2610
667	5238	2603
668	5248	2596
669	5250	2586
670	5253	2575
671	5262	2568
672	5264	2557
673	5266	2547
674	5276	2540
675	5286	2533
676	5288	2523
677	5297	2516
678	5300	2505
679	5302	2495
680	5303	2484
681	5306	2474
682	5307	2463
683	5316	2456
684	5319	2446
685	5321	2435
686	5324	2425
687	5335	2419
688	5336	2408
689	5347	2402
690	5349	2392
691	5352	2382
692	5361	2375
693	5364	2365
694	5366	2355
695	5376	2348
696	5377	2337
697	5387	2330
698	5396	2323
699	5405	2316
700	5407	2306
701	5416	2299
702	5426	2292
703	5428	2282
704	5431	2272
705	5440	2265
706	5449	2258
707	5451	2248
708	5454	2238
709	5463	2231
710	5473	2224
711	5482	2217
712	5485	2207
713	5494	2200
714	5503	2193
715	5505	2183
716	5508	2174
717	5517	2167
718	5519	2157
719	5522	2147
720	5524	2137
721	5533	2130
722	5543	2123
723	5552	2116
724	5554	2106
725	5563	2099
726	5566	2090
727	5568	2080
728	5571	2070
729	5580	2063
730	5589	2056
731	5598	2049
732	5608	2042
733	5617	2035
734	5620	2026
735	5629	2019
736	5632	2009
737	5634	2000
738	5644	1993
739	5653	1986
740	5663	1979
741	5665	1969
742	5667	1960
743	5670	1951
744	5679	1944
745	5688	1936
746	5698	1929
747	5707	1922
748	5717	1915
749	5726	1908
750	5735	1901
751	5744	1894
752	5754	1887
753	5763	1880
754	5766	1871
755	5775	1864
756	5785	1857
757	5794	1850
758	5804	1842
759	5806	1833
