iter	RMSE
345	0.2063375217
346	0.2063375217
347	0.2062708946
348	0.2061286793
349	0.2059032637
350	0.2057374074
351	0.2055550371
352	0.2055550371
353	0.205555037
354	0.2054905295
355	0.2054905295
356	0.2054905295
357	0.2053503419
358	0.2052309788
359	0.2051308958
360	0.2051308957
361	0.2051308956
362	0.2051308956
363	0.2051224561
364	0.2051224561
365	0.2049846859
366	0.2049846859
367	0.2049309296
368	0.204815401
369	0.2046992973
370	0.2046992972
371	0.2046705297
372	0.204441645
373	0.2043841352
374	0.2043841352
375	0.2043498861
376	0.2043498861
377	0.2041223717
378	0.2040808386
379	0.2039654449
380	0.2038440819
381	0.2037886389
382	0.2036719603
383	0.2035723648
384	0.2035723647
385	0.2034687732
386	0.2034361048
387	0.203419171
388	0.203419171
389	0.203419171
390	0.2033401872
391	0.2031655448
392	0.2030763149
393	0.2030763149
394	0.2030763149
395	0.2030676242
396	0.2030676242
397	0.2029636328
398	0.2029636327
399	0.2029636327
400	0.2028526185
401	0.2028526184
402	0.2027500455
403	0.2026423331
404	0.2025628284
405	0.2025628281
406	0.202215523
407	0.202215523
408	0.2021835796
409	0.2019640284
410	0.2017317832
411	0.2015662298
412	0.2015662293
413	0.2014808372
414	0.2013829654
415	0.2013377801
416	0.2013377797
417	0.2012123493
418	0.2010304222
419	0.2008718093
420	0.2008190088
421	0.2007162103
422	0.2007162102
423	0.2007162102
424	0.2004605282
425	0.2004296269
426	0.2003560987
427	0.2003560987
428	0.2003560987
429	0.2003560987
430	0.2003193449
431	0.2000919785
432	0.2000919785
433	0.2000919785
434	0.1999596736
435	0.1999596736
436	0.1999595434
437	0.199732279
438	0.1997322788
439	0.1996556117
440	0.1994806047
441	0.1994806046
442	0.1993769511
443	0.1992024238
444	0.1990466089
445	0.1989078916
446	0.1987801887
447	0.1986176852
448	0.1984120141
449	0.1983342588
450	0.1982269951
451	0.1981359405
452	0.1980421607
453	0.1979538562
454	0.1978378868
455	0.1977087506
456	0.1976199883
457	0.1974780939
458	0.1974236255
459	0.197304251
460	0.197302581
461	0.1970452509
462	0.196935617
463	0.1968331746
464	0.1967492947
465	0.1965260859
466	0.196393174
467	0.1962928496
468	0.1962680801
469	0.1961975984
470	0.1960972944
471	0.1960595269
472	0.1960104211
473	0.195915256
474	0.19576139
475	0.1956476523
476	0.1955077108
477	0.1954143934
478	0.1953553974
479	0.1953553964
480	0.1953377649
481	0.1952202519
482	0.1950976092
483	0.1950976081
484	0.1948399352
485	0.1948399335
486	0.1948399319
487	0.1948399305
488	0.1948399291
489	0.1947192973
490	0.1945736711
491	0.1944780934
492	0.1942114945
493	0.1941609882
494	0.1940184947
495	0.194018492
496	0.193957998
497	0.1937978346
498	0.1937397203
499	0.1936389891
500	0.1936164954
501	0.1934771495
502	0.1934771475
503	0.1934302511
504	0.1933483952
505	0.1931352466
506	0.1929675776
507	0.192901243
508	0.1926866
509	0.1925404011
510	0.1925403989
511	0.1924147096
512	0.1923040444
513	0.1922335771
514	0.192154639
515	0.1920865085
516	0.1920443088
517	0.1920443065
518	0.1919422689
519	0.1918041675
520	0.1916693189
521	0.191493234
522	0.1914932317
523	0.1913716549
524	0.1913502467
525	0.1912447193
526	0.1910891293
527	0.1910602651
528	0.1908526997
529	0.1908526973
530	0.190852695
531	0.1908007386
532	0.1908007371
533	0.1907702864
534	0.1907024074
535	0.1907024062
536	0.1905791522
537	0.1905791508
538	0.1905791496
539	0.1903378319
540	0.1902616469
541	0.1902616452
542	0.1900956882
543	0.1900956865
544	0.1898247463
545	0.1896819606
546	0.1896055568
547	0.1895015519
548	0.1895015497
549	0.1895015476
550	0.1893545777
551	0.1893545754
552	0.1893194223
553	0.1893194201
554	0.1893194181
555	0.1893194163
556	0.1892745873
557	0.1891121945
558	0.1891121926
559	0.1891121909
560	0.1890134883
561	0.1888898504
562	0.1886722061
563	0.1886722039
564	0.1886274556
565	0.1886274536
566	0.1886274517
567	0.1884479336
568	0.188349497
569	0.1882653614
570	0.1881526471
571	0.1880304063
572	0.1879180403
573	0.1878035059
574	0.1878035036
575	0.1876223541
576	0.1876223521
577	0.1876223502
578	0.1873255953
579	0.1873255936
580	0.1871646494
581	0.1871016617
582	0.1871016606
583	0.1870029132
584	0.1868759885
585	0.1867236843
586	0.1867236824
587	0.1866410049
588	0.1865694938
589	0.186477064
590	0.1864063028
591	0.1862757244
592	0.1861703966
593	0.1860909021
594	0.1860042041
