iter	Passed	Remaining
419	2347	3241
420	2352	3236
421	2358	3230
422	2362	3222
423	2368	3217
424	2373	3211
425	2379	3205
426	2385	3200
427	2394	3199
428	2397	3191
429	2405	3188
430	2410	3182
431	2416	3177
432	2418	3167
433	2421	3157
434	2424	3148
435	2430	3143
436	2435	3137
437	2441	3132
438	2443	3122
439	2449	3117
440	2451	3107
441	2457	3101
442	2462	3096
443	2465	3087
444	2467	3077
445	2472	3071
446	2478	3065
447	2480	3056
448	2486	3051
449	2492	3046
450	2495	3037
451	2498	3028
452	2500	3019
453	2504	3011
454	2507	3003
455	2513	2999
456	2516	2990
457	2522	2984
458	2527	2979
459	2533	2973
460	2538	2968
461	2541	2959
462	2543	2949
463	2546	2941
464	2551	2936
465	2557	2931
466	2563	2925
467	2569	2920
468	2572	2912
469	2576	2905
470	2579	2897
471	2582	2889
472	2584	2880
473	2591	2876
474	2594	2867
475	2597	2859
476	2601	2852
477	2603	2843
478	2609	2837
479	2610	2828
480	2615	2822
481	2620	2816
482	2623	2807
483	2625	2798
484	2628	2790
485	2630	2782
486	2636	2777
487	2642	2772
488	2644	2763
489	2647	2755
490	2651	2748
491	2655	2741
492	2658	2733
493	2660	2725
494	2663	2717
495	2666	2709
496	2671	2704
497	2674	2695
498	2676	2687
499	2680	2680
500	2686	2675
501	2687	2666
502	2694	2662
503	2699	2656
504	2702	2648
505	2706	2642
506	2708	2633
507	2710	2625
508	2716	2620
509	2718	2611
510	2720	2603
511	2723	2595
512	2728	2590
513	2732	2583
514	2737	2578
515	2741	2571
516	2744	2564
517	2748	2557
518	2754	2553
519	2760	2548
520	2763	2540
521	2765	2532
522	2770	2526
523	2776	2522
524	2784	2519
525	2791	2515
526	2793	2507
527	2795	2499
528	2798	2491
529	2800	2483
530	2804	2476
531	2810	2472
532	2813	2465
533	2818	2459
534	2820	2451
535	2825	2446
536	2829	2439
537	2834	2434
538	2837	2426
539	2843	2422
540	2847	2416
541	2850	2408
542	2853	2401
543	2858	2396
544	2860	2388
545	2862	2380
546	2864	2372
547	2870	2367
548	2875	2362
549	2878	2354
550	2881	2347
551	2887	2343
552	2889	2335
553	2894	2329
554	2899	2324
555	2901	2316
556	2906	2311
557	2912	2306
558	2917	2301
559	2922	2296
560	2927	2291
561	2930	2284
562	2934	2277
563	2937	2270
564	2939	2263
565	2941	2255
566	2943	2247
567	2946	2240
568	2949	2233
569	2954	2229
570	2960	2224
571	2966	2219
572	2968	2212
573	2970	2204
574	2973	2197
575	2975	2190
576	2977	2182
577	2985	2180
578	2987	2172
579	2995	2168
580	2997	2161
581	3000	2154
582	3002	2147
583	3004	2140
584	3007	2133
585	3009	2125
586	3014	2121
587	3020	2116
588	3022	2109
589	3024	2102
590	3031	2097
591	3036	2092
592	3038	2085
593	3044	2080
594	3049	2075
595	3055	2070
596	3057	2063
597	3062	2058
598	3068	2054
599	3070	2046
600	3073	2040
601	3076	2033
602	3082	2029
603	3087	2024
604	3093	2019
605	3099	2014
606	3105	2010
607	3108	2004
608	3112	1998
609	3117	1993
610	3120	1986
611	3126	1982
612	3128	1975
613	3133	1970
614	3135	1962
615	3141	1958
616	3143	1951
617	3145	1944
618	3150	1939
619	3153	1932
620	3159	1928
621	3162	1922
622	3168	1917
623	3174	1912
624	3178	1906
625	3183	1902
626	3185	1895
627	3193	1891
628	3200	1887
629	3205	1882
630	3208	1876
631	3211	1869
632	3216	1864
633	3220	1859
634	3222	1852
635	3228	1847
636	3231	1841
637	3237	1836
638	3243	1832
639	3245	1825
640	3251	1820
641	3253	1814
642	3255	1807
643	3260	1802
644	3266	1797
645	3271	1792
646	3276	1787
647	3278	1781
648	3280	1774
649	3283	1767
650	3286	1761
651	3288	1754
652	3293	1750
653	3299	1745
654	3305	1740
655	3311	1736
656	3314	1730
657	3317	1724
658	3319	1717
659	3323	1711
660	3328	1707
661	3330	1700
662	3335	1695
663	3337	1689
664	3339	1682
665	3345	1677
666	3347	1671
667	3349	1664
668	3354	1659
669	3360	1655
670	3362	1648
671	3365	1642
672	3367	1636
673	3369	1629
674	3371	1623
675	3377	1618
676	3384	1614
677	3390	1610
678	3397	1606
679	3401	1600
680	3404	1594
681	3410	1590
682	3412	1583
683	3415	1577
684	3417	1571
685	3423	1567
686	3426	1561
687	3431	1556
688	3435	1550
689	3437	1544
690	3439	1537
691	3441	1531
692	3443	1525
693	3446	1519
694	3452	1515
695	3458	1510
696	3463	1505
697	3466	1499
698	3472	1495
699	3477	1490
700	3479	1484
701	3481	1477
702	3483	1471
703	3485	1465
704	3488	1459
705	3490	1453
706	3492	1447
707	3498	1443
708	3500	1436
709	3505	1431
710	3511	1427
711	3514	1421
